Description,PLC tag,Value,"Setup word DINT[100]",Comment
Alarm timer settings for sensor checks,SlitterFullSpeedSlowTime,5000,SetupWord[75]
Alarm timer settings for sensor checks,SlitterSlowSpeedFastTime,20000,SetupWord[76]
Alarm timer settings for sensor checks,SlitterSlowSpeedSlowTime,5000,SetupWord[77]
"Set to 1 to enable ""hold foot on pedal mode"" for slitter",B_SlitterHoldToRun,0,SetupWord[78]
Set to 1 for Apron to home each down sequence,B_ApronHomeAlways,0,SetupWord[79]
Set to 1 to enable folder STOP on 2nd operator fault,B_StopOn2ndOpertorFault,1,SetupWord[80]
Set to 1 to enable 2nd operator slitter footswitch,B_Enable2ndSlitterFootswitch,1,SetupWord[81]
Clamp pedal coincidence time in milliseconds set to 0 to disable,T_ClampPedal1window,0,SetupWord[82]
Set to 1 for imperial mode,B_ImperialMode,0,SetupWord[83]

TOP Apron DOWN gain change angle,TopAngleGainChangePoint,120,SetupWord[84],
TOP Apron UP maximum speed,TopApronSpeedLimit,6000,SetupWord[85],
TOP Apron DOWN gain used below gain change angle,TopApronDownGain,0.5,SetupWord[86],SetupWord is integer = real value *100
TOP Apron DOWN creep speed speed used below gain change angle,TopApronDownCreepHigh,500,SetupWord[87],
TOP Apron DOWN maximum speed,TopApronDownSpeedLimit,6000,SetupWord[88],
TOP Apron UP gain ,TopApronUpGain,0.20,SetupWord[89],SetupWord is integer = real value *100
TOP Apron UP CREEP speed used below gain change angle (not used),TopApronUpCreepHigh,350,SetupWord[90],
TOP Apron UP CREEP speed ,TopApronUpCreepLow,500,SetupWord[91],
TOP Apron DOWN gain used above gain change angle,TopApronDownLowGain,0.20,SetupWord[92],SetupWord is integer = real value *100
TOP Apron DOWN creep speed speed used above gain change angle,TopApronDownCreepLow,200,SetupWord[93],

TOP slide counts for lube,C_TopSlideCounts.PRE,3000,SetupWord[94],
TOP slide time for lube,TopSlideLubeTime,600,SetupWord[95],

Enable second backgauge lock pedal,B_Enable2ndLockFootswitchFor2Operators,1,SetupWord[97],
Max No of operators 2-4,NoOfOperators,4,SetupWord[98],
Splash message timeout in seconds,T_SplashMessage.acc,5,SetupWord[99],

